Sr No,company_name,job_title,min_experience,avg_salary,min_salary,max_salary,num_of_salaries
1116,Ocwen Financial Solutions,Senior Business Analyst,4,9.90,5.9,13.3,18
1117,Vedantu,Senior Business Analyst,2,16.90,6.6,21,18
1118,Infinite Computer Solutions,Senior Business Analyst,4,9.30,6,13,17
1119,Clover Infotech,Senior Business Analyst,3,9.10,6.5,12.5,17
1120,BYJU'S,Senior Business Analyst,0,9.40,6,17,17
1121,Majesco,Senior Business Analyst,5,13.60,9,18,17
1122,R Systems International,Senior Business Analyst,6,14.80,9.9,20,17
1123,Accenture,Senior Data Analyst,3,9.90,6.5,14.6,213
1124,Capgemini,Senior Data Analyst,1,4.70,3.8,7.1,129
1125,TCS,Senior Data Analyst,3,6.00,2.9,11.2,118
1126,Unilog Content Solutions ( P),Senior Data Analyst,3,3.20,2.8,3.8,110
1127,Cognizant,Senior Data Analyst,2,6.20,3,15.2,109
1128,eClerx,Senior Data Analyst,1,4.30,3,7.2,90
1129,Concentrix Corporation,Senior Data Analyst,2,4.60,3.1,7.5,85
1130,Ernst & Young,Senior Data Analyst,3,9.50,6,15.3,71
1131,Flipkart,Senior Data Analyst,3,11.80,6,17.6,66
1132,Wipro,Senior Data Analyst,2,7.10,3,11.7,54
1133,Tech Mahindra,Senior Data Analyst,2,7.10,4,13,53
1134,HCL Technologies,Senior Data Analyst,2,6.20,3,10,53
1135,Ugam Solution,Senior Data Analyst,2,6.50,3.5,10.5,52
1136,Cerner,Senior Data Analyst,2,6.10,3,15.4,52
1137,Optum,Senior Data Analyst,5,16.20,11,21.5,51
1138,InnovAccer,Senior Data Analyst,2,15.20,9.3,22,50
1139,GlobalLogic,Senior Data Analyst,2,3.50,2.5,5,46
1140,Infosys,Senior Data Analyst,3,9.90,5.3,15,45
1141,Tiger Analytics,Senior Data Analyst,1,11.30,9,15,45
1142,UnitedHealth,Senior Data Analyst,5,17.20,8,26,44
1143,IBM,Senior Data Analyst,3,11.10,6.3,19,43
1144,Cyient,Senior Data Analyst,4,3.60,2.5,5.3,43
1145,Urjanet Energy Solutions,Senior Data Analyst,2,3.80,3.1,5,42
1146,Deloitte,Senior Data Analyst,3,10.20,6.2,14.9,39
1147,Epsilon,Senior Data Analyst,4,17.40,10,24.5,38
1148,Morningstar,Senior Data Analyst,2,5.00,3.8,6.3,37
1149,BCG,Senior Data Analyst,5,19.70,16,24,36
1150,Dell,Senior Data Analyst,3,11.70,9,18,33
1151,Walmart,Senior Data Analyst,4,29.00,16.5,40,32
1152,Course5,Senior Data Analyst,3,7.40,5.1,12.9,29
1153,IHS Markit,Senior Data Analyst,4,11.10,6.1,18.5,28
1154,Bharti Airtel,Senior Data Analyst,3,16.60,5.9,22,28
1155,L&T Infotech,Senior Data Analyst,3,12.20,7.3,19,28
1156,Wells Fargo India,Senior Data Analyst,3,13.70,7.8,23,28
1157,Axa XL,Senior Data Analyst,2,9.90,6.1,15,28
1158,Zen3 Info Solutions,Senior Data Analyst,3,4.30,3.4,5.5,27
1159,Honeywell Technology Solutions,Senior Data Analyst,4,14.60,6,22,26
1160,LiquidHub,Senior Data Analyst,2,3.50,2.5,4.8,25
1161,Proziod Analytics,Senior Data Analyst,3,4.90,3.6,6.3,25
1162,LatentView Analytics,Senior Data Analyst,2,10.80,9.2,12.5,25
1163,The Smart Cube,Senior Data Analyst,1,9.60,7,12,23
1164,Indium Software,Senior Data Analyst,3,14.40,10,20,23
1165,Citicorp,Senior Data Analyst,2,16.10,11.5,20.9,23
1166,Harman Connected Services,Senior Data Analyst,4,10.00,6,19,22
1167,Toluna,Senior Data Analyst,3,7.10,5.4,9,22
1168,FE fundinfo,Senior Data Analyst,2,4.80,4,5.4,21
1169,McKinsey & Company,Senior Data Analyst,3,20.70,12.9,27.2,20
1170,Amazon,Senior Data Analyst,2,8.60,3.9,25.5,19
1171,Ford Motor,Senior Data Analyst,2,15.00,11.6,18.9,19
1172,Subex,Senior Data Analyst,1,8.00,5.5,11,19
1173,Mindtree,Senior Data Analyst,2,8.00,6,12.6,19
1174,S&P Global,Senior Data Analyst,3,8.00,5.7,11,19
1175,EXL Service,Senior Data Analyst,2,7.60,4,12,18
1176,DXC Technology,Senior Data Analyst,5,14.00,6.9,20,18
1177,R1 RCM,Senior Data Analyst,3,5.40,3.9,6.9,18
1178,KPMG,Senior Data Analyst,1,8.00,4.2,11.8,18
1179,Zensar Technologies,Senior Data Analyst,4,6.30,4,10.6,17
1180,Schneider Electric,Senior Data Analyst,2,9.60,6,17,17
1181,WNS,Senior Data Analyst,2,6.10,4,8,17
1182,Genpact,Senior Data Analyst,3,6.20,4.3,11,17
1183,NTT DATA,Senior Data Analyst,2,7.20,4,11.5,17
1184,Ganit Business Solutions,Senior Data Analyst,0,7.40,5.2,10.5,17
1185,HSBC,Senior Data Analyst,2,11.90,7.1,16,17
1186,Synchrony,Senior Data Analyst,2,7.50,5,12.5,16
1187,Kantar,Senior Data Analyst,2,6.00,4.5,8.4,16
1188,Unire Business Solutions,Senior Data Analyst,0,1.90,1.4,2.5,16
1189,JP Morgan Chase,Senior Data Analyst,3,12.80,7.4,18,16
1190,Dynata,Senior Data Analyst,4,8.80,7.5,10.3,16
1191,PwC,Senior Data Analyst,3,11.10,5.8,20,16
1192,Indegene,Senior Data Analyst,2,15.60,11.4,20.5,15
1193,Lowe's,Senior Data Analyst,1,17.40,10.4,20,15
1194,Ameriprise Financial,Senior Data Analyst,3,14.20,10,18.1,15
1195,Barclays,Senior Data Analyst,3,13.80,9,19.4,15
1196,Continental Automotive Components,Senior Data Analyst,2,2.90,2.5,3.5,15
1197,Johnson & Johnson,Senior Data Analyst,4,12.00,5.8,20,15
1198,JLL,Senior Data Analyst,3,6.30,4.5,13,15
1199,Paytm,Senior Data Analyst,3,7.60,5,11,15
1200,Oracle,Senior Data Analyst,3,7.70,4.2,15,15
1201,HERE Technologies,Senior Data Analyst,4,5.10,4.5,6.5,14
1202,CAMP Systems,Senior Data Analyst,4,5.10,3.8,6.2,14
1203,Ericsson,Senior Data Analyst,2,8.90,5,13,14
1204,Novartis Healthcare,Senior Data Analyst,2,12.80,6,19,14
1205,E2OPEN,Senior Data Analyst,5,6.10,4.9,8.3,14
1206,Bank of America,Senior Data Analyst,5,19.20,11.7,26,14
1207,Nielsen,Senior Data Analyst,2,5.90,3.1,9.5,14
1208,VASTA BIO-INFORMATICS,Senior Data Analyst,1,3.60,3.3,4.3,14
1209,VeeTechnologies,Senior Data Analyst,2,3.00,2,4,14
1210,Nailbiter Research,Senior Data Analyst,0,4.70,4.2,5.2,14
1211,Hewlett-Packard Enterprise,Senior Data Analyst,3,8.80,5,17.7,13
1212,S&P Global Market Intelligence,Senior Data Analyst,5,6.90,4.9,9.5,13
1213,MakeMyTrip,Senior Data Analyst,4,7.50,6,9,12
1214,Advantmed,Senior Data Analyst,3,7.10,4,12,12
1215,Sutherland Global Services,Senior Data Analyst,2,6.60,5,8.5,12
1216,Citibank,Senior Data Analyst,2,17.40,16,19.5,12
1217,Mercer,Senior Data Analyst,1,4.60,3,6.5,12
1218,American Express,Senior Data Analyst,2,14.70,6.1,25,12
1219,Shadowfax Technologies,Senior Data Analyst,0,7.70,6.3,10,11
1220,Resilinc,Senior Data Analyst,4,5.80,5,7,11
1221,Bluemind Solutions,Senior Data Analyst,4,3.10,2.8,3.5,11
1222,Denave,Senior Data Analyst,2,6.70,3.5,9.8,11
1223,Cross-tab Marketing Services,Senior Data Analyst,0,5.00,3.5,7,11
1224,Wissend,Senior Data Analyst,0,1.90,1.4,2.2,11
1225,Infosys BPM,Senior Data Analyst,2,8.90,3.8,17,11
1226,Adobe,Senior Data Analyst,5,14.50,9.8,20,10
1227,BNY Mellon,Senior Data Analyst,3,10.40,4.9,13.5,10
1228,Shell,Senior Data Analyst,4,12.40,7.9,20,10
1229,Target,Senior Data Analyst,2,13.70,9.9,18,10
1230,Dell EMC,Senior Data Analyst,3,9.40,8.5,11.1,10
1231,comScore,Senior Data Analyst,5,19.70,13.5,24,10
1232,Fedby Information Services,Senior Data Analyst,3,4.60,4,5.5,10
1233,Experis IT,Senior Data Analyst,5,8.20,6.6,9.8,10
1234,Phoenix American Sales Focus Solutions India,Senior Data Analyst,3,5.70,5,7,10
1235,Collabera Technologies,Senior Data Analyst,2,8.70,7.5,10.5,10
1236,SG Analytics,Senior Data Analyst,3,7.00,6,8.3,10
1237,Mobikwik,Senior Data Analyst,3,13.90,11,17,10
1238,Ecolab Digital Center,Senior Data Analyst,6,17.60,11.2,22.3,10
1239,Oyo Rooms,Senior Data Analyst,4,11.40,7,16,9
1240,Randstad,Senior Data Analyst,3,6.90,2.5,12,9
1241,Clarivate Analytics,Senior Data Analyst,1,17.70,10,26.5,9
1242,Rapido,Senior Data Analyst,2,14.90,6.5,20.4,9
1243,Standard Chartered Bank,Senior Data Analyst,2,12.70,5,30,9
1244,Equifax,Senior Data Analyst,3,6.20,3.5,8.5,9
1245,Tesco,Senior Data Analyst,1,10.30,5.8,15.5,9
1246,QL2 Software,Senior Data Analyst,4,3.40,2.7,5.5,9
1247,Vodafone Idea,Senior Data Analyst,3,10.20,5.2,15.8,9
1248,IQVIA,Senior Data Analyst,3,12.40,8,15.3,9
1249,InSync Analytics,Senior Data Analyst,4,3.60,3.1,4,9
1250,Landis+Gyr,Senior Data Analyst,5,15.00,12.6,17.5,9
1251,DecisionTree Analytics & Services,Senior Data Analyst,3,12.80,9,17,9
1252,Yodlee,Senior Data Analyst,4,7.40,5,9,8
1253,Yash Technologies,Senior Data Analyst,7,5.80,4.6,7.5,8
1254,Teleperformance,Senior Data Analyst,2,3.00,2,4.4,8
1255,Wunderman,Senior Data Analyst,2,5.70,4.5,7.4,8
1256,Xiaomi,Senior Data Analyst,5,9.50,8.1,10.5,8
1257,Sentieo,Senior Data Analyst,2,5.90,5,7,8
1258,Fidelity National Information Services,Senior Data Analyst,4,9.70,6.5,14,8
1259,Thomson Reuters,Senior Data Analyst,3,10.50,8,15,8
1260,Maersk,Senior Data Analyst,3,7.10,5,9,8
1261,Home Credit Finance,Senior Data Analyst,3,7.60,4.8,10,8
1262,Standard Chartered Global Business Services,Senior Data Analyst,4,18.50,10.5,27.4,8
1263,Mr Cooper,Senior Data Analyst,2,13.00,11,15,8
1264,Hudson's bay Company,Senior Data Analyst,3,15.70,13.2,18.9,8
1265,S&P Capital IQ,Senior Data Analyst,3,6.40,5,9.2,8
1266,Merkle Sokrati,Senior Data Analyst,1,9.10,7.8,12.3,8
1267,Games24x7,Senior Data Analyst,5,17.90,11.5,23.1,8
1268,Iris Software,Senior Data Analyst,5,14.40,10,20,8
1269,Axis Bank,Senior Data Analyst,0,7.00,5,8.3,8
1270,Mphasis,Senior Data Analyst,4,10.30,9,11.5,8
1271,Whitehat jr,Senior Data Analyst,2,12.60,8,17,8
1272,Blinkit,Senior Data Analyst,1,16.70,13.5,23,8
1273,BUDDI.AI,Senior Data Analyst,3,4.20,4,5,8
1274,Cartesian Consulting,Senior Data Analyst,1,7.50,5.6,11,7
1275,Fuel Intelligence,Senior Data Analyst,2,4.50,4,5,7
1276,General Mills,Senior Data Analyst,4,12.20,9,15.5,7
1277,Cisco Systems,Senior Data Analyst,7,15.30,13.2,20.3,7
1278,TIAA Global Business Services,Senior Data Analyst,6,15.50,12,21.5,7
1279,Nailbiter,Senior Data Analyst,1,4.90,4.5,5.2,7
1280,Aon,Senior Data Analyst,2,7.00,3.8,12.2,7
1281,Aakash Institute,Senior Data Analyst,1,5.30,3.8,6.5,7
1282,D2L Pharma Research Solutions,Senior Data Analyst,4,4.30,3.4,5.2,7
1283,HARMAN,Senior Data Analyst,5,9.40,6.5,12.2,7
1284,Vaco Binary Semantics,Senior Data Analyst,1,5.00,3.5,6.8,7
1285,B3Intelligence,Senior Data Analyst,3,6.80,4,8.5,7
1286,Sapient Corporation,Senior Data Analyst,3,12.10,5.1,20.8,7
1287,Legato Health Technologies,Senior Data Analyst,6,14.30,11.7,21,7
1288,Fidelity National Financial,Senior Data Analyst,2,4.90,3.5,6.2,7
1289,Zomato,Senior Data Analyst,0,6.20,5.5,7.3,7
1290,Symphony Retail AI,Senior Data Analyst,3,10.50,10,11,7
1291,Myntra,Senior Data Analyst,5,11.90,7.5,23,7
1292,KPI Partners,Senior Data Analyst,6,13.90,11,16,7
1293,Reliance Retail,Senior Data Analyst,2,6.00,4.5,6.8,7
1294,Publicis,Senior Data Analyst,3,14.90,7.5,20,7
1295,TEKsystems,Senior Data Analyst,4,12.20,10,13.5,7
1296,Mobile Premier League,Senior Data Analyst,1,25.20,20,28,7
1297,Citigroup,Senior Data Analyst,2,17.00,14,21,7
1298,LearningMate Solutions,Senior Data Analyst,4,9.10,8,10.8,6
1299,Encore Capital Group,Senior Data Analyst,3,8.50,7.5,9.1,6
1300,MResult Services,Senior Data Analyst,5,8.40,7,9,6
1301,XL Catlin,Senior Data Analyst,3,14.90,11.8,17.4,6
1302,Williams Lea Tag,Senior Data Analyst,5,6.60,5,9,6
1303,Ninjacart,Senior Data Analyst,2,6.70,6,9.5,6
1304,Bajaj Finserv,Senior Data Analyst,3,11.40,9.4,15,6
1305,Collegedunia,Senior Data Analyst,1,4.30,3.6,5,6
1306,Arthur J. Gallagher & Co,Senior Data Analyst,3,5.50,5,6.6,6
1307,Athenahealth Technology,Senior Data Analyst,6,6.10,5.6,6.6,6
1308,ADP Solutions,Senior Data Analyst,3,10.00,4.5,17.5,6
1309,UST,Senior Data Analyst,5,10.40,6,12,6
1310,L&T Infotech,Senior Data Engineer,2,11.00,6,17,729
1311,Quantiphi Analytics Solutions,Senior Data Engineer,2,15.00,9.5,22.5,137
1312,IBM,Senior Data Engineer,3,16.90,10,25,112
1313,Maersk,Senior Data Engineer,5,21.10,13.4,31,110
1314,Optum,Senior Data Engineer,5,16.50,11.9,21,83
1315,Accenture,Senior Data Engineer,3,14.30,9.5,22.9,83
1316,TCS,Senior Data Engineer,5,13.30,7.9,20.9,65
1317,Wells Fargo India,Senior Data Engineer,7,21.90,16.9,31.5,64
1318,Altimetrik,Senior Data Engineer,4,15.20,9.5,21.1,56
1319,Coforge,Senior Data Engineer,4,15.30,12,18.6,53
1320,Cognizant,Senior Data Engineer,4,15.10,9,23,51
1321,Sapient Corporation,Senior Data Engineer,4,19.40,15,26,51
1322,Fractal Analytics,Senior Data Engineer,4,21.80,16,30,49
1323,Enquero,Senior Data Engineer,2,15.80,11.5,20,46
1324,Walmart,Senior Data Engineer,6,35.70,23,49.3,44
1325,Shell,Senior Data Engineer,3,23.30,11.2,36,42
1326,UnitedHealth,Senior Data Engineer,5,16.10,12.2,25,42
1327,Wipro,Senior Data Engineer,4,13.10,8,20,40
1328,Larsen & Toubro Limited,Senior Data Engineer,2,10.40,6.5,16,40
1329,Mindtree,Senior Data Engineer,2,6.70,5.8,10,36
1330,Capgemini,Senior Data Engineer,3,16.40,6.8,23.5,35
1331,Teradata,Senior Data Engineer,5,13.50,10,18.6,34
1332,Visa,Senior Data Engineer,3,27.30,20,32.6,31
1333,Ernst & Young,Senior Data Engineer,3,18.50,12,28.5,30
1334,Concentrix Corporation,Senior Data Engineer,2,5.40,4.2,6.6,28
1335,HCL Technologies,Senior Data Engineer,4,18.00,5,30,28
1336,Lowe's,Senior Data Engineer,5,18.90,16,25,26
1337,Indium Software,Senior Data Engineer,3,15.50,9,22,26
1338,Target,Senior Data Engineer,3,22.10,15.5,30,25
1339,Tech Mahindra,Senior Data Engineer,4,14.30,7.3,27,23
1340,Deloitte,Senior Data Engineer,4,16.30,10.5,22,23
1341,Amazon,Senior Data Engineer,6,32.00,18,45,19
1342,DXC Technology,Senior Data Engineer,5,14.70,9.6,24.2,19
1343,Tiger Analytics,Senior Data Engineer,5,22.10,15,28,19
1344,GE Healthcare,Senior Data Engineer,5,17.80,13,24.8,18
1345,Morgan Stanley,Senior Data Engineer,6,28.80,20,36.5,18
1346,EPAM Systems,Senior Data Engineer,4,23.10,17,27,18
1347,NIIT Technologies,Senior Data Engineer,2,15.00,14.5,15.5,17
1348,GE,Senior Data Engineer,4,19.30,14,25.2,16
1349,JLL,Senior Data Engineer,4,23.50,16.5,33,16
1350,Nagarro,Senior Data Engineer,3,24.10,17,32,16
1351,NIKE,Senior Data Engineer,5,31.00,27,35,16
1352,Micron Technology,Senior Data Engineer,5,19.80,12.5,29,16
1353,Nokia,Senior Data Engineer,5,17.50,13.5,25,14
1354,UST,Senior Data Engineer,4,14.50,9.3,21,14
1355,Wavicle Data Solutions,Senior Data Engineer,0,11.80,9,15.6,14
1356,KPI Partners,Senior Data Engineer,4,17.10,13.5,22.3,14
1357,Happiest Minds Technologies,Senior Data Engineer,5,16.30,9.5,24.5,13
1358,BCG,Senior Data Engineer,4,24.70,20.1,28,13
1359,Infosys,Senior Data Engineer,2,8.70,4.5,15.5,13
1360,JP Morgan Chase,Senior Data Engineer,5,22.30,11.9,28,13
1361,Philips,Senior Data Engineer,2,17.50,15,22,12
1362,Innova Solutions,Senior Data Engineer,7,27.10,16,40,12
1363,Legato Health Technologies,Senior Data Engineer,4,16.90,11,22,12
1364,DUNNHUMBY IT SERVICES INDIA,Senior Data Engineer,2,13.20,11,18,12
1365,Ecolab Digital Center,Senior Data Engineer,5,17.10,12.3,19.8,12
1366,Bosch Global Software Technologies,Senior Data Engineer,2,13.80,9,22,11
1367,Maersk Line,Senior Data Engineer,4,21.50,16.2,29.5,11
1368,Commonwealth Bank of Australia,Senior Data Engineer,7,31.70,20.8,43.1,11
1369,Cisco Systems,Senior Data Engineer,10,25.90,22,32,11
1370,Tredence,Senior Data Engineer,1,10.70,8,15,11
1371,Oracle,Senior Data Engineer,5,29.20,15,51,11
1372,Lenovo,Senior Data Engineer,4,13.50,12,17,10
1373,Photon Interactive,Senior Data Engineer,4,8.10,6.4,10,10
1374,Intersoft Data Labs,Senior Data Engineer,3,29.20,20,37.8,10
1375,Lumiq.ai,Senior Data Engineer,3,14.00,10,17.5,10
1376,Dell,Senior Data Engineer,2,13.20,9.2,18,10
1377,SpringML,Senior Data Engineer,2,11.10,8.5,16.5,10
1378,Verizon,Senior Data Engineer,4,17.60,10,30.2,9
1379,Dunnhumby,Senior Data Engineer,2,13.60,10,18,9
1380,Hewlett-Packard Enterprise,Senior Data Engineer,3,24.90,9,35,9
1381,Bajaj Finserv,Senior Data Engineer,1,14.40,9.7,19,9
1382,Ab Inbev,Senior Data Engineer,8,26.40,20,35,9
1383,Collabera Technologies,Senior Data Engineer,4,15.10,11,25,9
1384,GE Aviation,Senior Data Engineer,8,18.70,16,24,9
1385,News Technology Services,Senior Data Engineer,5,17.40,12.3,21,9
1386,ZS,Senior Data Engineer,2,18.60,15,23,9
1387,NTT DATA,Senior Data Engineer,2,19.90,11,28.6,9
1388,Koch Business Solutions,Senior Data Engineer,7,29.50,23,37,9
1389,PwC,Senior Data Engineer,4,17.00,11.4,24,9
1390,McKinsey & Company,Senior Data Engineer,5,26.60,19,33,8
1391,Indegene,Senior Data Engineer,3,15.70,10,18.8,8
1392,Johnson & Johnson,Senior Data Engineer,4,16.40,12,21,8
1393,Optum Global Solutions,Senior Data Engineer,7,18.50,14.5,23.5,8
1394,DBS Bank,Senior Data Engineer,5,20.40,14,30,8
1395,Bank of America,Senior Data Engineer,4,16.10,13.5,19.3,8
1396,American Express,Senior Data Engineer,7,28.60,22,40,8
1397,Nisum Technologies,Senior Data Engineer,3,20.10,18,24,8
1398,Mphasis,Senior Data Engineer,5,13.80,8.7,20,8
1399,Samsung,Senior Data Engineer,4,15.20,10,21,8
1400,MakeMyTrip,Senior Data Engineer,3,26.40,17,37,7
1401,Saama Technologies,Senior Data Engineer,4,16.50,13.7,21.2,7
1402,TO THE NEW,Senior Data Engineer,4,18.90,18,20,7
1403,PayPal,Senior Data Engineer,6,23.70,19,28,7
1404,Harman Connected Services,Senior Data Engineer,5,19.80,14,32,7
1405,ITC Infotech India,Senior Data Engineer,4,16.80,10.6,21.5,7
1406,IQVIA,Senior Data Engineer,4,17.30,13,21.5,7
1407,Luxoft,Senior Data Engineer,5,19.50,15,23,7
1408,Paytm,Senior Data Engineer,4,25.90,20,33,7
1409,Citicorp,Senior Data Engineer,4,23.10,18.8,28,7
1410,Axa XL,Senior Data Engineer,4,7.70,7,9.2,7
1411,TEKsystems,Senior Data Engineer,5,16.40,10.5,26,7
1412,HSBC,Senior Data Engineer,5,16.10,12,20,7
1413,AstraZeneca,Senior Data Engineer,9,14.00,11,19,6
1414,BlazeClan Technologies,Senior Data Engineer,4,10.00,7.3,11.7,6
1415,Data Semantics,Senior Data Engineer,7,15.40,11,17.4,6
1416,Birlasoft,Senior Data Engineer,4,12.00,8.8,13.5,6
1417,Xpo Logistics,Senior Data Engineer,6,16.30,14,18,6
1418,Renault Nissan Technology & Business Centre India,Senior Data Engineer,5,8.20,7.7,9.1,6
1419,DataWeave,Senior Data Engineer,3,13.50,11.3,16,6
1420,Eli Lilly and Company,Senior Data Engineer,7,25.40,17.4,32,6
1421,DataMetica,Senior Data Engineer,4,13.30,7.5,23,6
1422,InfoStretch,Senior Data Engineer,4,16.80,10.7,23,6
1423,GE Transportation,Senior Data Engineer,8,22.20,21,23,6
1424,Baker Hughes,Senior Data Engineer,8,21.40,16,27.1,6
1425,Intuit,Senior Data Engineer,8,39.00,26,47,5
1426,Expedia,Senior Data Engineer,6,34.80,30,41.3,5
1427,Yash Technologies,Senior Data Engineer,5,14.50,10,16,5
1428,IHS Markit,Senior Data Engineer,6,24.00,19,27,5
1429,Swiss Re,Senior Data Engineer,6,20.20,17,25,5
1430,Dun & Bradstreet,Senior Data Engineer,7,18.00,14.2,23,5
1431,Siemens Healthineers,Senior Data Engineer,4,20.00,14,24,5
1432,Apar Technologies,Senior Data Engineer,8,24.50,21.5,28,5
1433,GE Digital,Senior Data Engineer,7,16.90,15,19.9,5
1434,Riskonnect,Senior Data Engineer,4,8.50,7,9.8,5
1435,T-Systems,Senior Data Engineer,7,21.20,17.5,23.5,5
1436,NCR Corporation,Senior Data Engineer,4,16.00,11.3,22.6,5
1437,BA Continuum,Senior Data Engineer,7,19.60,17.4,21,5
1438,Softcrylic Technology Solutions,Senior Data Engineer,4,18.60,10,29.5,5
1439,Rakuten,Senior Data Engineer,5,23.20,16.6,30.9,5
1440,Honeywell Technology Solutions,Senior Data Engineer,2,22.50,20.1,24,5
1441,GlobalLogic,Senior Data Engineer,3,17.30,10.4,23.1,5
1442,Emirates Airlines,Senior Data Engineer,6,68.30,20,94,5
1443,ValueLabs,Senior Data Engineer,5,19.50,15,21.7,5
1444,GEP Worldwide,Senior Data Engineer,4,15.50,13.5,17.5,5
1445,Ameriprise Financial,Senior Data Engineer,3,11.70,10,15,5
1446,Gartner India Research and Advisory Services,Senior Data Engineer,3,20.00,16.5,24.5,5
1447,Information Evolution,Senior Data Engineer,3,3.40,2.5,4.3,5
1448,Alliance Data,Senior Data Engineer,4,16.90,14.5,19,5
1449,Franklin Templeton International Services,Senior Data Engineer,5,18.70,14.2,23.5,5
1450,Boeing,Senior Data Engineer,7,22.20,14,27,5
1451,Kloud 9,Senior Data Engineer,7,29.90,24,39,5
1452,Algonomy,Senior Data Engineer,8,15.20,13.5,16.3,5
1453,Tavant Technologies,Senior Data Engineer,4,13.70,10.5,16.5,5
1454,Cgi Group,Senior Data Engineer,5,12.00,6.5,15.4,5
1455,Societe Generale,Senior Data Engineer,7,21.90,12.5,34.5,5
1456,Mr Cooper,Senior Data Engineer,4,13.80,9,17,5
1457,ValueMomentum,Senior Data Engineer,4,19.40,12,27,5
1458,Clairvoyant India,Senior Data Engineer,5,16.10,12,20,5
1459,Mercedes-Benz Research & Development India,Senior Data Engineer,3,26.20,11.5,60,5
1460,Knoema IT Solutions,Senior Data Engineer,4,8.90,5.3,13,5
1461,Evalueserve,Senior Data Engineer,4,12.50,10.4,17.4,5
1462,Uber,Senior Data Engineer,7,66.30,34.5,93,5
1463,GGK Technologies,Senior Data Engineer,5,11.20,9,14.5,5
1464,Anju Software,Senior Data Engineer,4,16.90,6.8,20,5
1465,phData,Senior Data Engineer,4,20.00,16,25,5
1466,ACS Solution,Senior Data Engineer,3,15.20,13.8,16.4,5
1467,MassMutual,Senior Data Engineer,6,19.30,18.3,21,5
1468,ConcertAI,Senior Data Engineer,5,28.20,22,32,5
1469,Onepoint IT Consulting,Senior Data Engineer,4,10.30,9.6,10.8,4
1470,Sapient Global Markets,Senior Data Engineer,5,19.90,15,25,4
1471,Marlabs,Senior Data Engineer,2,14.20,6.7,20,4
1472,Red Hat,Senior Data Engineer,2,18.90,11.8,26,4
1473,EXL Service,Senior Data Engineer,3,18.70,13,23.6,4
1474,Advance Auto Parts,Senior Data Engineer,7,25.70,24,28.9,4
1475,Telstra,Senior Data Engineer,7,27.60,18,32,4
1476,GE Power,Senior Data Engineer,8,15.40,11,22,4
1477,Epsilon,Senior Data Engineer,8,23.80,16.5,26.8,4
1478,Cimpress,Senior Data Engineer,4,20.50,15,23,4
1479,Senvion,Senior Data Engineer,4,12.70,9,16,4
1480,USEReady,Senior Data Engineer,4,14.30,9.4,18.4,4
1481,Milliman,Senior Data Engineer,5,19.50,14.1,25,4
1482,Blackhawk Network,Senior Data Engineer,5,21.80,16.4,25,4
1483,Wabtec,Senior Data Engineer,9,20.00,19,21,4
1484,KrazyBee,Senior Data Engineer,3,10.30,8.5,15.7,4
1485,Roche Diagnostics,Senior Data Engineer,5,33.10,23.5,43,4
1486,Fidelity National Information Services,Senior Data Engineer,6,20.10,12,23.8,4
1487,XL Health,Senior Data Engineer,4,9.90,8.5,12,4
1488,ADP Solutions,Senior Data Engineer,4,14.30,11.6,19,4
1489,Hexaware Technologies,Senior Data Engineer,8,18.40,13,22.8,4
1490,Citibank,Senior Data Engineer,6,18.20,14,20,4
1491,Akamai Technologies,Senior Data Engineer,5,24.10,21.8,25.1,4
1492,Quest Global,Senior Data Engineer,8,20.30,17,24,4
1493,TCS,Machine Learning Engineer,1,5.80,4,9.3,193
1494,Quantiphi Analytics Solutions,Machine Learning Engineer,1,11.20,7.4,15,174
1495,Accenture,Machine Learning Engineer,2,9.90,5.4,15.2,61
1496,Wipro,Machine Learning Engineer,1,5.90,3.5,13,45
1497,Tiger Analytics,Machine Learning Engineer,0,13.60,9,22,37
1498,Capgemini,Machine Learning Engineer,2,6.30,4.5,12.1,29
1499,Infosys,Machine Learning Engineer,2,6.70,4.3,14.7,28
1500,Cognizant,Machine Learning Engineer,1,8.00,4,15.2,28
1501,HCL Technologies,Machine Learning Engineer,0,8.30,4.2,14,21
1502,Tech Mahindra,Machine Learning Engineer,1,7.30,3.9,16.2,20
1503,IBM,Machine Learning Engineer,3,9.30,4.5,13.2,18
1504,Deloitte,Machine Learning Engineer,2,13.70,8.3,21,14
1505,Amazon,Machine Learning Engineer,1,12.50,4.2,28.5,13
1506,Qualcomm,Machine Learning Engineer,0,19.40,12,29.8,12
1507,OptiSol Business Solutions,Machine Learning Engineer,0,5.60,3.5,8.5,11
1508,Mindtree,Machine Learning Engineer,1,5.30,3.5,7,10
1509,Virtusa Consulting Services,Machine Learning Engineer,0,5.10,4,9,9
1510,Ford Motor,Machine Learning Engineer,2,11.80,7.5,16,9
1511,Samsung Research,Machine Learning Engineer,1,17.40,11,25,9
1512,DXC Technology,Machine Learning Engineer,2,7.30,4,11,8
1513,UST,Machine Learning Engineer,2,6.70,5,9,8
1514,Reliance jio,Machine Learning Engineer,2,9.20,5.5,15,8
1515,Straive,Machine Learning Engineer,3,9.30,4.5,13.5,8
1516,e-Zest,Machine Learning Engineer,0,4.50,2.1,7,7
1517,Trantor,Machine Learning Engineer,1,9.40,7,16.5,7
1518,JP Morgan Chase,Machine Learning Engineer,3,16.90,13,22,7
